Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","504","Morocco","5510","Production","0231","Hen eggs in shell, fresh","2020","2020","t","415000","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5513","Production","0231","Hen eggs in shell, fresh","2020","2020","1000 No","6700000","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5510","Production","0231","Hen eggs in shell, fresh","2021","2021","t","415000","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5513","Production","0231","Hen eggs in shell, fresh","2021","2021","1000 No","6700000","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","390224","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5513","Production","0231","Hen eggs in shell, fresh","2022","2022","1000 No","6300000","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5510","Production","0231","Hen eggs in shell, fresh","2023","2023","t","371642","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5513","Production","0231","Hen eggs in shell, fresh","2023","2023","1000 No","6000000","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5510","Production","0231","Hen eggs in shell, fresh","2024","2024","t","396418","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5513","Production","0231","Hen eggs in shell, fresh","2024","2024","1000 No","6400000","A","Official figure",""
